"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2010-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","260,1,N,0036,1","99999,9,9,N","016000,1,N,1","+0156,1","+0089,1","10247,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0200,1","180,N,+0078,1",,,,,,,,,,,"99999,9,10191,1","6,1,005,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01004 72295 32966 62607 10156 20089 30191 40247 56005 92353 333 10200 20078 555 90100;",
"72295023174","2010-01-01T00:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0021,5","06096,5,M,N","016093,5,N,5","+0150,5","+0094,5","10250,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04877,5,99,9","07,5,+06096,5,99,9",,,"2,99,1,+04877,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10251,5,10131,5",,,,,,,,,,,,,,,,,,"MET10012/31/09 16:53:01 METAR KLAX 010053Z 26004KT 10SM SCT160 BKN200 15/09 A3027 RMK AO2 SLP250 T01500094",
"72295023174","2010-01-01T01:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0015,5","06096,5,M,N","016093,5,N,5","+0150,5","+0100,5","10254,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04877,5,99,9","07,5,+06096,5,99,9",,,"1,99,1,+04877,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10254,5,10134,5",,,,,,,,,,,,,,,,,,"MET10012/31/09 17:53:01 METAR KLAX 010153Z 26003KT 10SM FEW160 BKN200 15/10 A3028 RMK AO2 SLP254 T01500100",
"72295023174","2010-01-01T02:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","06096,5,M,N","016093,5,N,5","+0139,5","+0100,5","10256,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04572,5,99,9","07,5,+06096,5,99,9",,,"1,99,1,+04572,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10257,5,10138,5","3,9,008,9,+999,9",,,,,,,,,,,,,,,,,"MET10612/31/09 18:53:01 METAR KLAX 010253Z 00000KT 10SM FEW150 BKN200 14/10 A3029 RMK AO2 SLP256 T01390100 53008",
"72295023174","2010-01-01T03:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0144,5","+0094,5","10255,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04572,5,99,9","04,5,+06096,5,99,9",,,"1,99,1,+04572,5,9","2,99,1,+06096,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10257,5,10138,5",,,,,,,,,,,,,,,,,,"MET10012/31/09 19:53:02 METAR KLAX 010353Z 00000KT 10SM FEW150 SCT200 14/09 A3029 RMK AO2 SLP255 T01440094",
"72295023174","2010-01-01T04:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","04572,5,M,N","016093,5,N,5","+0139,5","+0072,5","10258,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9",,,,"3,99,1,+04572,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10261,5,10141,5",,,,,,,,,,,,,,,,,,"MET09312/31/09 20:53:02 METAR KLAX 010453Z 00000KT 10SM BKN150 14/07 A3030 RMK AO2 SLP258 T01390072",
"72295023174","2010-01-01T05:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","080,5,N,0015,5","04572,5,M,N","016093,5,N,5","+0133,5","+0056,5","10261,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9",,,,"3,99,1,+04572,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0156,1","999,N,+0133,1",,,,,,,,,,,"10264,5,10144,5","3,9,006,9,+999,9",,,,,,,,,,,,,,,,,"MET11112/31/09 21:53:02 METAR KLAX 010553Z 08003KT 10SM BKN150 13/06 A3031 RMK AO2 SLP261 T01330056 10156 20133 53006",
"72295023174","2010-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","080,1,N,0015,1","99999,9,9,N","016000,1,N,1","+0133,1","+0056,1","10261,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0156,1","240,N,+0078,1",,,,,,,,,,,"99999,9,99999,9","3,1,006,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01064 72295 32966 60803 10133 20056 30208 40261 53006 90553 333 10156 20078 555 90106;","Q01 102083APOSP "
"72295023174","2010-01-01T06:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0021,5","04572,5,M,N","016093,5,N,5","+0144,5","+0033,5","10265,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9",,,,"3,99,1,+04572,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10268,5,10148,5",,,,,,,,,,,,,,,,,,"MET09312/31/09 22:53:02 METAR KLAX 010653Z VRB04KT 10SM BKN150 14/03 A3032 RMK AO2 SLP265 T01440033",
"72295023174","2010-01-01T07:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0015,5","07620,5,M,N","016093,5,N,5","+0144,5","+0011,5","10259,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04572,5,99,9","07,5,+07620,5,99,9",,,"1,99,1,+04572,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10261,5,10141,5",,,,,,,,,,,,,,,,,,"MET11012/31/09 23:53:02 METAR KLAX 010753Z VRB03KT 10SM FEW150 BKN250 14/01 A3030 RMK AO2 SLP259 T01440011 402000078",
