"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","ED1","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","GK1","GP1","GQ1","GR1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","OC1","OE1","OE2","OE3","REM","EQD"
"72295023174","2001-01-01T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","250,5,N,0041,5","06706,5,M,N","008000,5,N,1","+0156,5","+0078,5","10148,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+02438,5,9","2,99,5,+04877,5,9","3,99,5,+06706,5,9",,"06,99,1,99,9,99,9,02250,1,99,9,99,9",,,"0060,0185,02,008,0280,02,015,0118,02,008","0060,0762,9,2293,9","0060,0337,9,1415,9",,,,,,,,,"10149,5,10110,1","5,1,006,1,+999,9",,,,,"05,5",,,,,,,,"SYN082AAXX  01004 72295 31858 62508 10156 20078 30110 40148 55006 705// 92350 555 90100;","Q01  00002PRCP99Q02  00003PRCP99N01 00081JPWTH 0"
"72295023174","2001-01-01T00:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","250,5,N,0026,5","06706,5,M,N","006400,5,N,1","+0144,5","+0089,5","10149,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+04877,5,9","3,99,5,+06706,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10149,5,99999,9",,,,,,"05,5",,,,,,,,"MET079KLAX 010050Z 25005KT 4SM HZ FEW160 BKN220 14/09 A2997 RMK AO2 SLP149 T01440089;","Q01+000003PRSWM1Q02    003PRSWM1N01 00081JPWTH 0"
"72295023174","2001-01-01T01:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0024,02,008,0129,02,015,0016,02,008","0060,0855,9,2384,9","0060,0098,9,1262,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2001-01-01T01:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","260,5,N,0031,5","22000,5,M,N","006400,5,N,1","+0133,5","+0111,5","10155,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+04877,5,9","2,99,5,+06706,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10156,5,99999,9",,,,,,"10,1","45,5",,,,,,,"MET091KLAX 010150Z 26006KT 4SM BR FEW160 SCT220 13/11 A2999 RMK AO2 SLP155 VIS SW-NW 2 T01330111;","Q01+000003PRSWM1Q02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2001-01-01T02:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2001-01-01T02:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","240,5,N,0021,5","06706,5,M,N","004800,5,N,1","+0133,5","+0117,5","10164,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+06706,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10163,5,99999,9","3,1,015,1,+999,9",,,,,"10,1","45,5",,,,,,,"MET090KLAX 010250Z 24004KT 3SM BR BKN220 13/12 A3001 RMK AO2 SLP164 VIS SW-NW 2 T01330117 53015;","Q01+000003PRSWM1Q02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2001-01-01T03:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2001-01-01T03:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","250,5,N,0026,5","06706,5,M,N","004800,5,N,1","+0133,5","+0111,5","10172,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+06706,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10173,5,99999,9",,,,,,"10,1","45,5",,,,,,,"MET084KLAX 010350Z 25005KT 3SM BR BKN220 13/11 A3004 RMK AO2 SLP172 VIS SW-NW 2 T01330111;","Q01+000003PRSWM1Q02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2001-01-01T04:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2001-01-01T04:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","240,5,N,0021,5","06706,5,M,N","004800,5,N,1","+0139,5","+0111,5","10174,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+06706,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10176,5,99999,9",,,,,,"05,5",,,,,,,,"MET084KLAX 010450Z 24004KT 3SM HZ BKN220 14/11 A3005 RMK AO2 SLP174 VIS SW-NW 2 T01390111;","Q01+000003PRSWM1Q02    003PRSWM1N01 00081JPWTH 0"
