"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AW1","ED1","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","GK1","GP1","GQ1","GR1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MW1","MW2","MW3","MW4","OC1","OE1","OE2","OE3","REM","EQD"
"72295023174","2004-01-01T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","270,5,N,0036,5","07620,5,M,N","016000,5,N,1","+0144,5","+0106,5","10152,5","01,0000,9,5","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,,,,"2,99,5,+06096,5,9","3,99,5,+07620,5,9",,,"06,99,1,99,9,99,9,99999,9,99,9,99,9",,,"0060,0221,02,008,0455,02,015,0113,02,008","0060,0763,9,2294,9","0060,0335,9,1415,9",,,,,,,,,"10152,5,10113,1","3,1,012,1,+999,9",,,,,,,,,,,,"SYN076AAXX  01004 72295 32966 62707 10144 20106 30113 40152 53012 92350 555 90100;","Q01  00002PRCP06N01 00000JPWTH 0"
"72295023174","2004-01-01T00:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","300,5,N,0036,5","07620,5,M,N","016000,5,N,1","+0128,5","+0106,5","10152,5","01,0000,9,5","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,,,,"2,99,5,+06096,5,9","3,99,5,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10152,5,99999,9",,,,,"00,1",,,,,,,,"MET085KLAX 010050Z 30007KT 260V010 10SM SCT200 BKN250 13/11 A2998 RMK AO2 SLP152 T01280106;","Q01+000000PRSWM2Q02  00002PRCP06N01 00000JPWTH 0"
"72295023174","2004-01-01T01:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0028,02,008,0207,02,015,0014,02,008","0060,0856,9,2384,9","0060,0096,9,1262,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2004-01-01T01:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0031,5","07620,5,M,N","016000,5,N,1","+0122,5","+0111,5","10161,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+06096,5,9","3,99,5,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10163,5,99999,9",,,,,"00,1",,,,,,,,"MET077KLAX 010150Z VRB06KT 10SM FEW200 BKN250 12/11 A3001 RMK AO2 SLP161 T01220111;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2004-01-01T02:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2004-01-01T02:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","280,5,N,0031,5","22000,5,M,N","016000,5,N,1","+0128,5","+0117,5","10164,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+03048,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10166,5,99999,9","3,1,012,1,+999,9",,,,"00,1",,,,,,,,"MET076KLAX 010250Z 28006KT 10SM FEW100 13/12 A3002 RMK AO2 SLP164 T01280117 53012;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2004-01-01T03:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2004-01-01T03:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","260,5,N,0031,5","22000,5,M,N","016000,5,N,1","+0122,5","+0111,5","10171,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10173,5,99999,9",,,,,"00,1",,,,,,,,"MET067KLAX 010350Z 26006KT 10SM CLR 12/11 A3004 RMK AO2 SLP171 T01220111;","Q01+000000PRSWM2Q02  00002PRCP06N01 00000JPWTH 0"
"72295023174","2004-01-01T04:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2004-01-01T04:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0015,5","22000,5,M,N","014400,5,N,1","+0122,5","+0111,5","10175,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10176,5,99999,9",,,,,"00,1",,,,,,,,"MET066KLAX 010450Z VRB03KT 9SM CLR 12/11 A3005 RMK AO2 SLP175 T01220111;","Q01+000000PRSWM2N01 00000JPWTH 0"
